"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4","4","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C5,C6,C7,C8,C10,C11","6","10nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C9,C14","2","100nF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C12","1","C","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C13","1","10µF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"J1","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J2,J3,J4,J5","4","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J6,J7,J8,J9,J10,J11,J12","7","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"P1","1","USB_C_Plug_USB2.0","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"Q1,Q2","2","BSS138","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1,R2,R3,R4","4","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R5,R6","2","5.1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R7,R8,R9,R10","4","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R11,R12","2","22Ω","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"U1","1","","","","","ESP32:Sans titre",""
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
